embed_dim,hidden_dims,lr,config,metric,mean,sd,ci
16,3,0.0001,embeddim16_hiddendims3_lr1e-4,mae,0.562192726135254,0.0106418580526465,0.01321361201796599
16,3,0.0001,embeddim16_hiddendims3_lr1e-4,mse,0.6932426214218139,0.02938820435668298,0.036490275321548346
16,3,0.0001,embeddim16_hiddendims3_lr1e-4,num_epochs,299.0,0.0,0.0
16,3,0.0001,embeddim16_hiddendims3_lr1e-4,r2,0.8189446330070496,0.006736801720448798,0.008364844159318466
16,3,0.0001,embeddim16_hiddendims3_lr1e-4,rmse,0.8324603319168091,0.01776370312541032,0.0220565506456017
16,3,0.0001,embeddim16_hiddendims3_lr1e-4,time,123.28658828623593,1.0465267486501384,1.2994345869561192
16,3,0.0005,embeddim16_hiddendims3_lr5e-4,best_epoch,263.0,31.344856037314962,38.91977927041396
16,3,0.0005,embeddim16_hiddendims3_lr5e-4,loss,0.2627430155873298,0.030773683640509943,0.038210575068533384
16,3,0.0005,embeddim16_hiddendims3_lr5e-4,mae,0.53343585729599,0.018964926937401577,0.023548067006736353
16,3,0.0005,embeddim16_hiddendims3_lr5e-4,mse,0.6322819352149963,0.042492197134410985,0.05276103138637538
16,3,0.0005,embeddim16_hiddendims3_lr5e-4,num_epochs,289.6,12.91510743277035,16.036223932204816
16,3,0.0005,embeddim16_hiddendims3_lr5e-4,r2,0.8348814606666565,0.01024313075779661,0.012718526690849706
16,3,0.0005,embeddim16_hiddendims3_lr5e-4,rmse,0.7947976231575012,0.026895052292741594,0.03339461816170489
16,3,0.0005,embeddim16_hiddendims3_lr5e-4,time,118.19088267870248,5.549379475687557,6.89046470733214
16,3,0.001,embeddim16_hiddendims3_lr1e-3,best_epoch,203.0,49.44188507733094,61.39020870384988
16,3,0.001,embeddim16_hiddendims3_lr1e-3,loss,0.20056574940681457,0.025368006393353203,0.03149854024482965
16,3,0.001,embeddim16_hiddendims3_lr1e-3,mae,0.5135725915431977,0.010547616823031479,0.013096596076006587
16,3,0.001,embeddim16_hiddendims3_lr1e-3,mse,0.591856849193573,0.016099179481967214,0.01998977156337947
16,3,0.001,embeddim16_hiddendims3_lr1e-3,num_epochs,236.2,36.02360337334398,44.72921139425298
16,3,0.001,embeddim16_hiddendims3_lr1e-3,r2,0.8454078912734986,0.0037459155184409922,0.004651168439560986
16,3,0.001,embeddim16_hiddendims3_lr1e-3,rmse,0.7692652463912963,0.010478591649004488,0.013010890002447529
16,3,0.001,embeddim16_hiddendims3_lr1e-3,time,97.27641229704022,13.868623527226914,17.22017053839939
16,3,0.005,embeddim16_hiddendims3_lr5e-3,best_epoch,147.6,37.86555162677549,47.01629222709319
16,3,0.005,embeddim16_hiddendims3_lr5e-3,loss,0.08559473976492876,0.014702043866939279,0.018254998569590987
16,3,0.005,embeddim16_hiddendims3_lr5e-3,mae,0.5110254406929016,0.013051822087180828,0.016205977596613182
16,3,0.005,embeddim16_hiddendims3_lr5e-3,mse,0.5900875210762024,0.02752316687170415,0.034174525421149626
16,3,0.005,embeddim16_hiddendims3_lr5e-3,num_epochs,171.2,24.35569748539343,30.241592718755037
16,3,0.005,embeddim16_hiddendims3_lr5e-3,r2,0.8458712577819825,0.006920821778831752,0.008593335240759949
16,3,0.005,embeddim16_hiddendims3_lr5e-3,rmse,0.7680024027824401,0.0180218997059853,0.022377144044161003
16,3,0.005,embeddim16_hiddendims3_lr5e-3,time,69.24631120674312,8.913586388462202,11.067679313432652
