pooling_class,num_heads,aggregate,config,metric,mean,sd,ci
MultiheadSetPooling,4,mean,mh_numheads4_aggregateMean,nb_ae,7.947965669631958,0.20581636351605445,0.07685309318213061
MultiheadSetPooling,4,mean,mh_numheads4_aggregateMean,num_epochs_ae,203.06666666666666,42.549713993392956,15.888324322434926
MultiheadSetPooling,4,mean,mh_numheads4_aggregateMean,num_epochs_cl,110.86666666666666,19.883684757615477,7.424689909857111
MultiheadSetPooling,4,mean,mh_numheads4_aggregateMean,precision_cl,0.6171157121658325,0.04979988841623768,0.01859558394449176
MultiheadSetPooling,4,mean,mh_numheads4_aggregateMean,r2_ae,0.7846027036507924,0.006702784430156415,0.0025028608395870518
MultiheadSetPooling,4,mean,mh_numheads4_aggregateMean,recall_cl,0.6626445055007935,0.04727568707425229,0.01765303167298139
MultiheadSetPooling,4,mean,mh_numheads4_aggregateMean,rmse_ae,0.9086154639720917,0.016146296087057907,0.006029126044820708
MultiheadSetPooling,4,mean,mh_numheads4_aggregateMean,time_ae,55.79740462042391,11.28338924483192,4.213286787450581
MultiheadSetPooling,4,mean,mh_numheads4_aggregateMean,time_cl,30.051127062241235,5.266139237840689,1.9664087084323363
MultiheadSetPooling,8,concat,mh_numheads8_aggregateConcat,accuracy_cl,0.7066666642824809,0.04151483622486237,0.015501894612871076
MultiheadSetPooling,8,concat,mh_numheads8_aggregateConcat,auroc_cl,0.8954359134038289,0.024270762889950306,0.0090628518069082
MultiheadSetPooling,8,concat,mh_numheads8_aggregateConcat,best_epoch_ae,193.26666666666668,87.39602032024165,32.63421031581383
MultiheadSetPooling,8,concat,mh_numheads8_aggregateConcat,best_epoch_cl,86.33333333333333,21.47867159144935,8.020267781659053
MultiheadSetPooling,8,concat,mh_numheads8_aggregateConcat,f1_cl,0.6542040864626567,0.050217506567485186,0.018751525124989152
MultiheadSetPooling,8,concat,mh_numheads8_aggregateConcat,loss_ae,8.003995370864867,0.2264429387639643,0.08455518296000292
