labels,global,basal,her2,lumA,lumB,norm
TST,0.00079181074,0.00076746626,0.000782057,0.00079981284,0.0007758382,0.00083043793
B4GALT2,0.00079134357,0.0007316512,0.00078501826,0.0008071674,0.0008068436,0.00079136936
HK1,0.00079119724,0.0008197337,0.0007895373,0.0007871227,0.0007862058,0.00077247183
HEXB,0.0007893198,0.0007506094,0.0007975231,0.0007877914,0.0008055031,0.00082864467
MME,0.000788168,0.0006962943,0.0007054746,0.0009547921,0.000754061,0.00022945394
MPST,0.0007877773,0.00081047846,0.00076148054,0.0007874359,0.0007605564,0.0008193575
SLC2A5,0.00078723836,0.0007801808,0.000845362,0.0007791382,0.00081367104,0.0007494043
B4GALT1,0.00078673585,0.00078214856,0.0007786418,0.00078933337,0.00078618614,0.000788495
PLPP1,0.0007847354,0.0008470439,0.00087647064,0.00076310063,0.00082528434,0.00064386346
SHC3,0.0007836659,0.00075510616,0.0008083702,0.0008005442,0.00078874023,0.0007208581
SHC2,0.0007813471,0.0008402055,0.000779696,0.0007626545,0.0007838264,0.0007698041
HEXA,0.00078042503,0.0007801092,0.00076954823,0.0007797391,0.0007596656,0.0008307292
HK2,0.00077696564,0.0007940521,0.0007760581,0.0007839069,0.00076907047,0.00072736054
LOC105372824,0.0007768817,0.00084708293,0.00081893435,0.00074670016,0.0007583312,0.0008107927
CACNA1D,0.0007720372,0.0008865291,0.0007984336,0.000724327,0.0007476461,0.0008394799
ACAT1,0.00076901657,0.00075290323,0.00074427563,0.0007727619,0.0007448801,0.0008407761
ADRB1,0.0007683456,0.0007325637,0.00076612504,0.0007911963,0.0007707046,0.00071250665
CACNA1S,0.0007682754,0.00072769745,0.000724472,0.0007654696,0.0007236198,0.00096757617
DDB2,0.0007650173,0.0007675858,0.0007738252,0.00076207775,0.0007486005,0.00079936406
MAP3K5,0.00076385395,0.0007439686,0.00073568046,0.0007743428,0.0007786997,0.00073850615
SMAD2,0.0007587327,0.00074759853,0.0007594174,0.0007610661,0.0007411882,0.00079830614
GNG4,0.0007576892,0.0007842021,0.0007503159,0.0007420949,0.0007985496,0.00072004116
AOC3,0.0007560222,0.0007578001,0.00078188925,0.00076983275,0.00079058163,0.00060044014
PCYT1B,0.0007552421,0.00073003484,0.00078652485,0.00074881053,0.0008215006,0.0006864337
MMUT,0.0007532888,0.00076930854,0.0007429712,0.00075070397,0.0007492595,0.00075336033
INSR,0.0007526393,0.00074158626,0.00074970466,0.00074498664,0.00074009236,0.00083591667
STAT5A,0.0007520319,0.00073820364,0.0008022038,0.0007454736,0.00079184887,0.00069922843
NFATC1,0.0007467774,0.0007533515,0.0007410506,0.0007443746,0.0007431264,0.00075836666
PLA2G6,0.0007448668,0.00076558714,0.000752617,0.000737235,0.00075121364,0.0007299458
TNFSF11,0.0007434156,0.0006784183,0.00070027413,0.0007498082,0.00070375815,0.00092908036
DMD,0.0007427968,0.00072590564,0.00072442775,0.0007714132,0.00073031243,0.0006640642
POLK,0.00074258464,0.0007840068,0.0007431017,0.00073447824,0.0007154584,0.0007611302
KL,0.0007406694,0.0006546714,0.000684068,0.0007709068,0.00071976427,0.0008175378
IRS4,0.0007386688,0.00070088846,0.00074287516,0.0007626217,0.0007590882,0.00064267847
STAT5B,0.0007375623,0.00075531803,0.00079494383,0.0007292296,0.00073831744,0.0007056768
ITPR3,0.00073344907,0.0007227114,0.00072245277,0.000736643,0.00071453693,0.0007789899
PAK1,0.0007294665,0.0006930337,0.000702857,0.0007435936,0.00074261444,0.000716588
IRS2,0.000727108,0.0007051892,0.0008515436,0.0007278359,0.00075768365,0.0006147914
C3,0.0007249127,0.00067589694,0.00073229545,0.00072838773,0.0007823809,0.0006811568
PDHA1,0.0007220599,0.00068069267,0.0007185425,0.0007334396,0.0007491702,0.0006890846
HK3,0.00072140386,0.0006889357,0.00073027593,0.00073276286,0.00074516446,0.00067022396
AGTR1,0.00071830326,0.00074007787,0.00073868874,0.00072346115,0.000719105,0.0006380037
NFATC2,0.0007158197,0.00071029214,0.00070149254,0.00071635284,0.00070694846,0.0007495677
PRKAA2,0.00071551255,0.0007570472,0.0006886495,0.0007083004,0.0007166685,0.00069689995
XYLT1,0.0007147952,0.0007400723,0.0007769286,0.0007161179,0.0007069023,0.000633555
GLB1,0.0007106132,0.0007069223,0.0007590544,0.0007115249,0.0007166058,0.0006662031
PDHB,0.00070448534,0.0007561946,0.00073462294,0.0006888536,0.0006873652,0.00070312165
PPP2CA,0.00070261466,0.00069101236,0.0007034497,0.00070596015,0.0007020586,0.0007063581
PDGFRA,0.0007001462,0.0006997804,0.00069568976,0.0007053916,0.00074179895,0.00060047227
MAP2K4,0.0006974153,0.0006708497,0.0006866122,0.0007060887,0.0006819893,0.0007362727
PRKCD,0.0006957742,0.0006554182,0.00069171033,0.0007042667,0.0007160119,0.0006887332
PGAP4,0.0006937749,0.0008049724,0.0007574647,0.0006680892,0.0008704387,0.00025673892
AKR1B1,0.0006927834,0.00067129196,0.000687078,0.000701883,0.0006972698,0.00068011234
PPARGC1A,0.000692481,0.0005905813,0.0006655198,0.00074623106,0.0007826836,0.00045125483
SOCS3,0.0006909838,0.00063173356,0.0007110663,0.0006991575,0.0007225868,0.0006799509
CXCL10,0.00068884785,0.00073106925,0.0007702154,0.0006793881,0.00071507477,0.0005554902
PPP2CB,0.0006880944,0.0006849,0.0006846234,0.0006882112,0.00068148854,0.0007078121
ERBB2,0.00068755227,0.00070043706,0.00073226204,0.0006675844,0.00067611004,0.0007547078
PTK2,0.0006871425,0.00069463876,0.00067856093,0.00067420956,0.0007201363,0.0006846291
HPD,0.0006829812,0.0006722625,0.00067695655,0.00068205496,0.00069068396,0.0006964716
BRCA2,0.00067711197,0.00079389237,0.00077983894,0.0006087828,0.0007591262,0.00059255894
ATP1A2,0.0006726154,0.000615128,0.0006160466,0.00072668336,0.00064988126,0.0005827263
ITPR2,0.00067244394,0.000680808,0.0007374412,0.0006623209,0.00068103545,0.000645958
UGDH,0.00067176914,0.0008664209,0.0006867725,0.0006206243,0.0006240417,0.0006682469
SHC1,0.0006713489,0.00066528947,0.0006668038,0.0006710753,0.0006643142,0.00069960475
PLAAT2,0.0006696269,0.00066619186,0.0006641901,0.0006642229,0.0006675132,0.00071077637
PLAAT3,0.00066922384,0.000671531,0.0006651767,0.00066806393,0.0006670051,0.0006781065
