labels,global,basal,her2,lumA,lumB,norm
BID,0.00092758803,0.00084551825,0.00089496176,0.0009542931,0.0009409699,0.0009346472
UGT2B17,0.00092381315,0.0009505687,0.0009642337,0.0009179216,0.00091068354,0.00090189156
MAOB,0.0009217269,0.0009080572,0.00089547754,0.00091883657,0.00091644045,0.0009889856
ERBB2,0.0009205568,0.00063677755,0.0022622182,0.0008626894,0.00090483984,0.00076317135
CREBBP,0.0009153081,0.00091545837,0.0009400352,0.0008997357,0.0009488354,0.0009137769
ACAT1,0.0009146432,0.0008938281,0.0009008047,0.00092414167,0.0009198775,0.0009032976
EP300,0.0009145646,0.00089321955,0.0009002447,0.00092275906,0.00092485105,0.00090173073
RAC3,0.0009100986,0.00094322633,0.0009444485,0.0009024526,0.0009227536,0.0008426504
MAOA,0.00090694596,0.0008915625,0.0008937437,0.0009120601,0.0009199371,0.0008934741
ITGB2,0.0009064493,0.0008084485,0.00083415804,0.00092967594,0.00091124297,0.001003521
INSR,0.00090477115,0.0009127145,0.0009031215,0.00090374827,0.00090237125,0.00090172817
JAK2,0.0009047252,0.0009055935,0.0009050686,0.0009047254,0.0009015394,0.00090885453
GADD45A,0.00090291403,0.000851937,0.00087626255,0.0009289302,0.0008377237,0.0010002347
MYC,0.000901997,0.0009024197,0.0008598042,0.00089895783,0.0008625921,0.0010201171
CDC42,0.00089967076,0.0008869027,0.00090629276,0.000902297,0.0009052556,0.00089352304
GADD45B,0.00089611247,0.00082319527,0.00086500525,0.00092765345,0.00082720135,0.0010138795
C4B,0.00089350843,0.0005644334,0.00080836436,0.0010805179,0.0008355693,0.00069117825
UGT2B28,0.00089237903,0.00089683983,0.0009262336,0.00089715875,0.0009074979,0.0008079192
UGT2B11,0.00089107984,0.0008967183,0.0008873107,0.00088916306,0.0009144611,0.0008504255
JAK1,0.0008872976,0.00087203283,0.0008736364,0.0008921089,0.0008748252,0.00092257955
APAF1,0.0008845386,0.0009090406,0.000884897,0.0008964905,0.00084178586,0.00086024014
MYD88,0.0008841739,0.0008657436,0.00084746606,0.00088430685,0.0008624251,0.0009824983
MAP2K7,0.0008832854,0.0008712954,0.00088051264,0.00088698417,0.0008883498,0.0008781438
C4A,0.0008822537,0.0005750262,0.0007635904,0.0010365357,0.0008910994,0.00070800784
FADD,0.0008787311,0.00081087544,0.0008502551,0.0008783133,0.0009519153,0.00088444364
GNAO1,0.0008767767,0.00087663304,0.00086856086,0.0008794638,0.00087768544,0.0008677298
