label,global,basal,her2,lumA,lumB,norm
path:hsa00604,0.0033411034,0.002626469,0.0032778957,0.0034384904,0.0039430945,0.003027304
path:hsa05310,0.0033324254,0.003196185,0.0028498087,0.0034094835,0.0032316484,0.0037171936
path:hsa04218,0.0033097747,0.0035381156,0.003306173,0.0030607674,0.003932089,0.0030215585
path:hsa04070,0.0033095966,0.0035664688,0.0032303645,0.003215527,0.0035778454,0.0028984996
path:hsa04940,0.003271252,0.0038668814,0.0030363475,0.0030980604,0.0030188495,0.0037453107
path:hsa04610,0.0032682049,0.0037428495,0.0027779774,0.0030247273,0.0034009079,0.003781346
path:hsa04270,0.0032544066,0.003644028,0.0034485804,0.003097379,0.0034323796,0.0028985562
path:hsa00240,0.0032069925,0.0041811382,0.0029908975,0.0026074012,0.0041642776,0.0029247305
path:hsa04611,0.0031844943,0.0033211862,0.0030694578,0.0031556566,0.003296114,0.0029689386
path:hsa04550,0.0031509863,0.0030331993,0.0035420314,0.0030141033,0.0036069124,0.0029209726
path:hsa05207,0.0031426381,0.0036266968,0.0037756518,0.002873538,0.0033264537,0.002859191
path:hsa00750,0.0031123948,0.0042771837,0.0036775714,0.0027165865,0.003037929,0.002809387
path:hsa05161,0.003106626,0.0033577138,0.003357503,0.0029038887,0.0034416188,0.0028917198
path:hsa04928,0.003084346,0.0030932925,0.0036397344,0.00298479,0.00323884,0.0028830545
path:hsa00770,0.003080836,0.004380917,0.0027633472,0.0028096712,0.0028000928,0.0029341737
path:hsa04392,0.003068121,0.0028637054,0.0032563403,0.0029633103,0.0035728482,0.0028840012
path:hsa04068,0.0030466744,0.0034825136,0.0032405262,0.0027994595,0.0033085078,0.0029111174
path:hsa04010,0.0030351866,0.00353116,0.0030710294,0.0028159076,0.0032149164,0.0029201175
path:hsa04921,0.0030120877,0.0032446603,0.003185843,0.002922394,0.0030316985,0.0028975043
path:hsa05218,0.0030019535,0.0042267554,0.0033231305,0.0025897864,0.0029437994,0.002823866
path:hsa00440,0.0030014918,0.0029372135,0.00403172,0.0028018956,0.0031050646,0.0031829802
path:hsa04340,0.003000858,0.0032666984,0.003628316,0.0027425152,0.0033090275,0.0028175535
path:hsa05031,0.0029868917,0.0036191524,0.0028305806,0.0028768117,0.0028029552,0.0028944798
path:hsa00590,0.0029836337,0.004398862,0.0036236749,0.002437138,0.002914452,0.0029413793
path:hsa00280,0.0029771046,0.004093896,0.0034186298,0.0027826505,0.0023565788,0.0028400214
path:hsa00250,0.0029746057,0.0035298548,0.003024384,0.0028679643,0.0027321195,0.0029578363
path:hsa04612,0.0029735186,0.00379287,0.0025957634,0.0027425906,0.002947795,0.0030336769
path:hsa04360,0.0029702026,0.002888547,0.0029671653,0.0029425856,0.0031711413,0.002882673
path:hsa04961,0.0029697209,0.003854627,0.00301005,0.0028052682,0.0026370122,0.0028440855
path:hsa04022,0.0029505256,0.0034524505,0.0031011913,0.002850401,0.0027226168,0.002893612
path:hsa00910,0.0029022305,0.0034739717,0.0030317279,0.0027951915,0.0025466373,0.0030100795
path:hsa00592,0.002883272,0.003894147,0.0033114313,0.0025180345,0.0027304506,0.0029385083
path:hsa04540,0.0028667299,0.0034045186,0.002800896,0.002699221,0.0028386868,0.002875256
path:hsa05166,0.0028630411,0.0041858894,0.0030196984,0.0024571125,0.002663757,0.0028629464
path:hsa04721,0.002855095,0.0036174646,0.0039124074,0.0025105998,0.0026794772,0.002824336
path:hsa00630,0.0028417695,0.0031422959,0.0035889659,0.0027796435,0.002414839,0.0028792114
path:hsa03018,0.0028364072,0.0033307185,0.0034217292,0.002569636,0.002840538,0.0028902641
path:hsa04664,0.002776567,0.0029478273,0.0026403326,0.0026726134,0.0029129384,0.0028499314
path:hsa04151,0.0027613197,0.003068411,0.0028808457,0.0026469638,0.0026740665,0.0028784657
path:hsa00061,0.0027602068,0.0033314063,0.002498006,0.002691334,0.0024220299,0.0029281722
path:hsa04973,0.0027528042,0.0019259348,0.002574295,0.0028639557,0.0032088412,0.002918773
path:hsa04213,0.0027423366,0.00315318,0.0032479737,0.0026248172,0.0024257014,0.0028386556
path:hsa00040,0.0027122907,0.0028969361,0.002453131,0.0026286363,0.0026823247,0.003056611
path:hsa04110,0.002691378,0.0034817234,0.0028979208,0.0022598798,0.002557543,0.0035915715
