embed_dim,num_heads,aggregate,config,metric,mean,sd,ci
64,8,mean,embeddim64_numheads8_aggregateMean,best_epoch,187.8,46.07819440906946,57.21363509997562
64,8,mean,embeddim64_numheads8_aggregateMean,kld,75.13138122558594,6.789657262823939,8.430472983391212
64,8,mean,embeddim64_numheads8_aggregateMean,loss,7.951851320266724,0.06474515169107393,0.08039172391304811
64,8,mean,embeddim64_numheads8_aggregateMean,mae,0.5770108580589295,0.01089622096386289,0.013529445287301685
64,8,mean,embeddim64_numheads8_aggregateMean,mse,0.8754350304603576,0.028528424252656115,0.0354227173200063
64,8,mean,embeddim64_numheads8_aggregateMean,nb,7.959265422821045,0.08838928548120734,0.10974979360896996
64,8,mean,embeddim64_numheads8_aggregateMean,num_epochs,210.2,44.89654775146971,55.7464269866362
64,8,mean,embeddim64_numheads8_aggregateMean,r2,0.7710734367370605,0.007057035903829303,0.008762467415816216
64,8,mean,embeddim64_numheads8_aggregateMean,rmse,0.935546362400055,0.015331694390647944,0.019036812956330185
64,8,mean,embeddim64_numheads8_aggregateMean,time,56.545188220590354,11.748089680331907,14.587180003737322
128,1,concat,embeddim128_numheads1_aggregateConcat,best_epoch,144.6,32.68485887991564,40.58361255756193
128,1,concat,embeddim128_numheads1_aggregateConcat,kld,79.09170989990234,6.619048764935581,8.218634553775614
128,1,concat,embeddim128_numheads1_aggregateConcat,loss,7.956476831436158,0.07221667179578256,0.0896688414389206
128,1,concat,embeddim128_numheads1_aggregateConcat,mae,0.577142596244812,0.01453333819386326,0.01804552280903978
128,1,concat,embeddim128_numheads1_aggregateConcat,mse,0.8707820534706116,0.03268398951688415,0.04058253310078436
128,1,concat,embeddim128_numheads1_aggregateConcat,nb,7.957352828979492,0.07668084858877519,0.09521184904439614
128,1,concat,embeddim128_numheads1_aggregateConcat,num_epochs,176.4,34.38458957149263,42.69410696393508
128,1,concat,embeddim128_numheads1_aggregateConcat,r2,0.7722619056701661,0.009097367678663367,0.011295873925018858
128,1,concat,embeddim128_numheads1_aggregateConcat,rmse,0.9330239772796631,0.01761788552762321,0.021875494184124916
128,1,concat,embeddim128_numheads1_aggregateConcat,time,51.19930215477943,10.496234837891315,13.032796914901791
128,1,mean,embeddim128_numheads1_aggregateMean,best_epoch,133.6,21.547621678505497,26.754906085115284
128,1,mean,embeddim128_numheads1_aggregateMean,kld,80.9831756591797,3.09014143100885,3.836917364241559
128,1,mean,embeddim128_numheads1_aggregateMean,loss,7.942613554000855,0.07152293129160521,0.08880744883078776
128,1,mean,embeddim128_numheads1_aggregateMean,mae,0.5734346628189086,0.010625958458769869,0.013193870064663342
128,1,mean,embeddim128_numheads1_aggregateMean,mse,0.868013322353363,0.03447898996084055,0.04281132052880479
128,1,mean,embeddim128_numheads1_aggregateMean,nb,7.951195907592774,0.09283176816055906,0.11526586441456481
128,1,mean,embeddim128_numheads1_aggregateMean,num_epochs,177.6,24.337214302380623,30.21864281583582
128,1,mean,embeddim128_numheads1_aggregateMean,r2,0.7730278968811035,0.008181288973207166,0.010158411976932803
128,1,mean,embeddim128_numheads1_aggregateMean,rmse,0.9315263628959656,0.018437787287993737,0.0228935366820409
128,1,mean,embeddim128_numheads1_aggregateMean,time,50.49893800392747,6.613710221412736,8.212005876480456
128,2,concat,embeddim128_numheads2_aggregateConcat,best_epoch,175.8,69.3087296089028,86.05815431661402
128,2,concat,embeddim128_numheads2_aggregateConcat,kld,86.3723388671875,7.384823176720338,9.169469071634415
128,2,concat,embeddim128_numheads2_aggregateConcat,loss,7.954804754257202,0.08799270719919729,0.10925737663372873
128,2,concat,embeddim128_numheads2_aggregateConcat,mae,0.5693009972572327,0.011107481460718794,0.013791759840490286
128,2,concat,embeddim128_numheads2_aggregateConcat,mse,0.8520049095153809,0.032682632294984526,0.04058084788721401
128,2,concat,embeddim128_numheads2_aggregateConcat,nb,7.964346122741699,0.1199813992860116,0.1489765839475517
128,2,concat,embeddim128_numheads2_aggregateConcat,num_epochs,199.8,61.933028345140684,76.90001159589458
